province,kab_kota,quadbin,id,boundary,bottom_left_lon,bottom_left_lat,top_right_lon,top_right_lat
DKI JAKARTA,JAKARTA TIMUR,5254864071169146879,JAKARTA TIMUR - 5254864071169146879,"POLYGON((106.875 -6.31529853833003, 106.875 -6.33713739498854, 106.89697265625 -6.33713739498854, 106.89697265625 -6.31529853833003, 106.875 -6.31529853833003))",106.875,-6.33713739498854,106.89697265625,-6.31529853833003
DKI JAKARTA,JAKARTA TIMUR,5254864071202701311,JAKARTA TIMUR - 5254864071202701311,"POLYGON((106.875 -6.33713739498854, 106.875 -6.35897532723566, 106.89697265625 -6.35897532723566, 106.89697265625 -6.33713739498854, 106.875 -6.33713739498854))",106.875,-6.35897532723566,106.89697265625,-6.33713739498854
DKI JAKARTA,JAKARTA TIMUR,5254864071303364607,JAKARTA TIMUR - 5254864071303364607,"POLYGON((106.875 -6.35897532723566, 106.875 -6.38081233193828, 106.89697265625 -6.38081233193828, 106.89697265625 -6.35897532723566, 106.875 -6.35897532723566))",106.875,-6.38081233193828,106.89697265625,-6.35897532723566
DKI JAKARTA,JAKARTA UTARA,5254864045969768447,JAKARTA UTARA - 5254864045969768447,"POLYGON((106.875 -6.07501100068201, 106.875 -6.09685981888794, 106.89697265625 -6.09685981888794, 106.89697265625 -6.07501100068201, 106.875 -6.07501100068201))",106.875,-6.09685981888794,106.89697265625,-6.07501100068201
DKI JAKARTA,JAKARTA UTARA,5254864046070431743,JAKARTA UTARA - 5254864046070431743,"POLYGON((106.875 -6.09685981888794, 106.875 -6.11870774719085, 106.89697265625 -6.11870774719085, 106.89697265625 -6.09685981888794, 106.875 -6.09685981888794))",106.875,-6.11870774719085,106.89697265625,-6.09685981888794
DKI JAKARTA,JAKARTA UTARA,5254864046103986175,JAKARTA UTARA - 5254864046103986175,"POLYGON((106.875 -6.11870774719085, 106.875 -6.1405547824503, 106.89697265625 -6.1405547824503, 106.89697265625 -6.11870774719085, 106.875 -6.11870774719085))",106.875,-6.1405547824503,106.89697265625,-6.11870774719085
DKI JAKARTA,JAKARTA UTARA,5254864047546826751,JAKARTA UTARA - 5254864047546826751,"POLYGON((106.875 -6.1405547824503, 106.875 -6.16240092152658, 106.89697265625 -6.16240092152658, 106.89697265625 -6.1405547824503, 106.875 -6.1405547824503))",106.875,-6.16240092152658,106.89697265625,-6.1405547824503
DKI JAKARTA,JAKARTA PUSAT,5254864047546826751,JAKARTA PUSAT - 5254864047546826751,"POLYGON((106.875 -6.1405547824503, 106.875 -6.16240092152658, 106.89697265625 -6.16240092152658, 106.89697265625 -6.1405547824503, 106.875 -6.1405547824503))",106.875,-6.16240092152658,106.89697265625,-6.1405547824503
DKI JAKARTA,JAKARTA PUSAT,5254864047580381183,JAKARTA PUSAT - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047580381183,JAKARTA TIMUR - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA UTARA,5254864047580381183,JAKARTA UTARA - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047681044479,JAKARTA TIMUR - 5254864047681044479,"POLYGON((106.875 -6.18424616128059, 106.875 -6.20609049857388, 106.89697265625 -6.20609049857388, 106.89697265625 -6.18424616128059, 106.875 -6.18424616128059))",106.875,-6.20609049857388,106.89697265625,-6.18424616128059
DKI JAKARTA,JAKARTA PUSAT,5254864047681044479,JAKARTA PUSAT - 5254864047681044479,"POLYGON((106.875 -6.18424616128059, 106.875 -6.20609049857388, 106.89697265625 -6.20609049857388, 106.89697265625 -6.18424616128059, 106.875 -6.18424616128059))",106.875,-6.20609049857388,106.89697265625,-6.18424616128059
DKI JAKARTA,JAKARTA TIMUR,5254864047714598911,JAKARTA TIMUR - 5254864047714598911,"POLYGON((106.875 -6.20609049857388, 106.875 -6.22793393026867, 106.89697265625 -6.22793393026867, 106.89697265625 -6.20609049857388, 106.875 -6.20609049857388))",106.875,-6.22793393026867,106.89697265625,-6.20609049857388
DKI JAKARTA,JAKARTA TIMUR,5254864048083697663,JAKARTA TIMUR - 5254864048083697663,"POLYGON((106.875 -6.22793393026867, 106.875 -6.24977645322781, 106.89697265625 -6.24977645322781, 106.89697265625 -6.22793393026867, 106.875 -6.22793393026867))",106.875,-6.24977645322781,106.89697265625,-6.22793393026867
DKI JAKARTA,JAKARTA TIMUR,5254864048117252095,JAKARTA TIMUR - 5254864048117252095,"POLYGON((106.875 -6.24977645322781, 106.875 -6.27161806431486, 106.89697265625 -6.27161806431486, 106.89697265625 -6.24977645322781, 106.875 -6.24977645322781))",106.875,-6.27161806431486,106.89697265625,-6.24977645322781
DKI JAKARTA,JAKARTA TIMUR,5254864048217915391,JAKARTA TIMUR - 5254864048217915391,"POLYGON((106.875 -6.27161806431486, 106.875 -6.29345876039398, 106.89697265625 -6.29345876039398, 106.89697265625 -6.27161806431486, 106.875 -6.27161806431486))",106.875,-6.29345876039398,106.89697265625,-6.27161806431486
DKI JAKARTA,JAKARTA TIMUR,5254864048251469823,JAKARTA TIMUR - 5254864048251469823,"POLYGON((106.875 -6.29345876039398, 106.875 -6.31529853833003, 106.89697265625 -6.31529853833003, 106.89697265625 -6.29345876039398, 106.875 -6.29345876039398))",106.875,-6.31529853833003,106.89697265625,-6.29345876039398
DKI JAKARTA,JAKARTA UTARA,5254863312620879871,JAKARTA UTARA - 5254863312620879871,"POLYGON((106.72119140625 -6.07501100068201, 106.72119140625 -6.09685981888794, 106.7431640625 -6.09685981888794, 106.7431640625 -6.07501100068201, 106.72119140625 -6.07501100068201))",106.72119140625,-6.09685981888794,106.7431640625,-6.07501100068201
DKI JAKARTA,JAKARTA UTARA,5254863312721543167,JAKARTA UTARA - 5254863312721543167,"POLYGON((106.72119140625 -6.09685981888794, 106.72119140625 -6.11870774719085, 106.7431640625 -6.11870774719085, 106.7431640625 -6.09685981888794, 106.72119140625 -6.09685981888794))",106.72119140625,-6.11870774719085,106.7431640625,-6.09685981888794
DKI JAKARTA,JAKARTA BARAT,5254863312721543167,JAKARTA BARAT - 5254863312721543167,"POLYGON((106.72119140625 -6.09685981888794, 106.72119140625 -6.11870774719085, 106.7431640625 -6.11870774719085, 106.7431640625 -6.09685981888794, 106.72119140625 -6.09685981888794))",106.72119140625,-6.11870774719085,106.7431640625,-6.09685981888794
DKI JAKARTA,JAKARTA BARAT,5254863312755097599,JAKARTA BARAT - 5254863312755097599,"POLYGON((106.72119140625 -6.11870774719085, 106.72119140625 -6.1405547824503, 106.7431640625 -6.1405547824503, 106.7431640625 -6.11870774719085, 106.72119140625 -6.11870774719085))",106.72119140625,-6.1405547824503,106.7431640625,-6.11870774719085
DKI JAKARTA,JAKARTA UTARA,5254863312755097599,JAKARTA UTARA - 5254863312755097599,"POLYGON((106.72119140625 -6.11870774719085, 106.72119140625 -6.1405547824503, 106.7431640625 -6.1405547824503, 106.7431640625 -6.11870774719085, 106.72119140625 -6.11870774719085))",106.72119140625,-6.1405547824503,106.7431640625,-6.11870774719085
DKI JAKARTA,JAKARTA BARAT,5254863314197938175,JAKARTA BARAT - 5254863314197938175,"POLYGON((106.72119140625 -6.1405547824503, 106.72119140625 -6.16240092152658, 106.7431640625 -6.16240092152658, 106.7431640625 -6.1405547824503, 106.72119140625 -6.1405547824503))",106.72119140625,-6.16240092152658,106.7431640625,-6.1405547824503
DKI JAKARTA,JAKARTA BARAT,5254863314231492607,JAKARTA BARAT - 5254863314231492607,"POLYGON((106.72119140625 -6.16240092152658, 106.72119140625 -6.1842461612806, 106.7431640625 -6.18424616128059, 106.7431640625 -6.16240092152658, 106.72119140625 -6.16240092152658))",106.72119140625,-6.1842461612806,106.7431640625,-6.16240092152658
DKI JAKARTA,JAKARTA BARAT,5254863314332155903,JAKARTA BARAT - 5254863314332155903,"POLYGON((106.72119140625 -6.1842461612806, 106.72119140625 -6.20609049857388, 106.7431640625 -6.20609049857388, 106.7431640625 -6.18424616128059, 106.72119140625 -6.1842461612806))",106.72119140625,-6.20609049857388,106.7431640625,-6.18424616128059
DKI JAKARTA,JAKARTA SELATAN,5254863314365710335,JAKARTA SELATAN - 5254863314365710335,"POLYGON((106.72119140625 -6.20609049857388, 106.72119140625 -6.22793393026867, 106.7431640625 -6.22793393026867, 106.7431640625 -6.20609049857388, 106.72119140625 -6.20609049857388))",106.72119140625,-6.22793393026867,106.7431640625,-6.20609049857388
DKI JAKARTA,JAKARTA BARAT,5254863314365710335,JAKARTA BARAT - 5254863314365710335,"POLYGON((106.72119140625 -6.20609049857388, 106.72119140625 -6.22793393026867, 106.7431640625 -6.22793393026867, 106.7431640625 -6.20609049857388, 106.72119140625 -6.20609049857388))",106.72119140625,-6.22793393026867,106.7431640625,-6.20609049857388
DKI JAKARTA,JAKARTA SELATAN,5254863314734809087,JAKARTA SELATAN - 5254863314734809087,"POLYGON((106.72119140625 -6.22793393026867, 106.72119140625 -6.24977645322781, 106.7431640625 -6.24977645322781, 106.7431640625 -6.22793393026867, 106.72119140625 -6.22793393026867))",106.72119140625,-6.24977645322781,106.7431640625,-6.22793393026867
DKI JAKARTA,JAKARTA TIMUR,5254863338139025407,JAKARTA TIMUR - 5254863338139025407,"POLYGON((106.8310546875 -6.31529853833003, 106.8310546875 -6.33713739498853, 106.85302734375 -6.33713739498854, 106.85302734375 -6.31529853833003, 106.8310546875 -6.31529853833003))",106.8310546875,-6.33713739498854,106.85302734375,-6.31529853833003
DKI JAKARTA,JAKARTA SELATAN,5254863338139025407,JAKARTA SELATAN - 5254863338139025407,"POLYGON((106.8310546875 -6.31529853833003, 106.8310546875 -6.33713739498853, 106.85302734375 -6.33713739498854, 106.85302734375 -6.31529853833003, 106.8310546875 -6.31529853833003))",106.8310546875,-6.33713739498854,106.85302734375,-6.31529853833003
DKI JAKARTA,JAKARTA TIMUR,5254863338172579839,JAKARTA TIMUR - 5254863338172579839,"POLYGON((106.8310546875 -6.33713739498853, 106.8310546875 -6.35897532723566, 106.85302734375 -6.35897532723566, 106.85302734375 -6.33713739498854, 106.8310546875 -6.33713739498853))",106.8310546875,-6.35897532723566,106.85302734375,-6.33713739498853
DKI JAKARTA,JAKARTA SELATAN,5254863338172579839,JAKARTA SELATAN - 5254863338172579839,"POLYGON((106.8310546875 -6.33713739498853, 106.8310546875 -6.35897532723566, 106.85302734375 -6.35897532723566, 106.85302734375 -6.33713739498854, 106.8310546875 -6.33713739498853))",106.8310546875,-6.35897532723566,106.85302734375,-6.33713739498853
DKI JAKARTA,JAKARTA UTARA,5254863313040310271,JAKARTA UTARA - 5254863313040310271,"POLYGON((106.8310546875 -6.09685981888794, 106.8310546875 -6.11870774719085, 106.85302734375 -6.11870774719085, 106.85302734375 -6.09685981888794, 106.8310546875 -6.09685981888794))",106.8310546875,-6.11870774719085,106.85302734375,-6.09685981888794
DKI JAKARTA,JAKARTA PUSAT,5254863313073864703,JAKARTA PUSAT - 5254863313073864703,"POLYGON((106.8310546875 -6.11870774719085, 106.8310546875 -6.1405547824503, 106.85302734375 -6.1405547824503, 106.85302734375 -6.11870774719085, 106.8310546875 -6.11870774719085))",106.8310546875,-6.1405547824503,106.85302734375,-6.11870774719085
DKI JAKARTA,JAKARTA UTARA,5254863313073864703,JAKARTA UTARA - 5254863313073864703,"POLYGON((106.8310546875 -6.11870774719085, 106.8310546875 -6.1405547824503, 106.85302734375 -6.1405547824503, 106.85302734375 -6.11870774719085, 106.8310546875 -6.11870774719085))",106.8310546875,-6.1405547824503,106.85302734375,-6.11870774719085
DKI JAKARTA,JAKARTA PUSAT,5254863314516705279,JAKARTA PUSAT - 5254863314516705279,"POLYGON((106.8310546875 -6.1405547824503, 106.8310546875 -6.16240092152658, 106.85302734375 -6.16240092152658, 106.85302734375 -6.1405547824503, 106.8310546875 -6.1405547824503))",106.8310546875,-6.16240092152658,106.85302734375,-6.1405547824503
DKI JAKARTA,JAKARTA UTARA,5254863314516705279,JAKARTA UTARA - 5254863314516705279,"POLYGON((106.8310546875 -6.1405547824503, 106.8310546875 -6.16240092152658, 106.85302734375 -6.16240092152658, 106.85302734375 -6.1405547824503, 106.8310546875 -6.1405547824503))",106.8310546875,-6.16240092152658,106.85302734375,-6.1405547824503
DKI JAKARTA,JAKARTA PUSAT,5254863314550259711,JAKARTA PUSAT - 5254863314550259711,"POLYGON((106.8310546875 -6.16240092152658, 106.8310546875 -6.18424616128059, 106.85302734375 -6.18424616128059, 106.85302734375 -6.16240092152658, 106.8310546875 -6.16240092152658))",106.8310546875,-6.18424616128059,106.85302734375,-6.16240092152658
DKI JAKARTA,JAKARTA SELATAN,5254863314650923007,JAKARTA SELATAN - 5254863314650923007,"POLYGON((106.8310546875 -6.18424616128059, 106.8310546875 -6.20609049857388, 106.85302734375 -6.20609049857388, 106.85302734375 -6.18424616128059, 106.8310546875 -6.18424616128059))",106.8310546875,-6.20609049857388,106.85302734375,-6.18424616128059
DKI JAKARTA,JAKARTA PUSAT,5254863314650923007,JAKARTA PUSAT - 5254863314650923007,"POLYGON((106.8310546875 -6.18424616128059, 106.8310546875 -6.20609049857388, 106.85302734375 -6.20609049857388, 106.85302734375 -6.18424616128059, 106.8310546875 -6.18424616128059))",106.8310546875,-6.20609049857388,106.85302734375,-6.18424616128059
DKI JAKARTA,JAKARTA TIMUR,5254863314650923007,JAKARTA TIMUR - 5254863314650923007,"POLYGON((106.8310546875 -6.18424616128059, 106.8310546875 -6.20609049857388, 106.85302734375 -6.20609049857388, 106.85302734375 -6.18424616128059, 106.8310546875 -6.18424616128059))",106.8310546875,-6.20609049857388,106.85302734375,-6.18424616128059
DKI JAKARTA,JAKARTA SELATAN,5254863314684477439,JAKARTA SELATAN - 5254863314684477439,"POLYGON((106.8310546875 -6.20609049857388, 106.8310546875 -6.22793393026867, 106.85302734375 -6.22793393026867, 106.85302734375 -6.20609049857388, 106.8310546875 -6.20609049857388))",106.8310546875,-6.22793393026867,106.85302734375,-6.20609049857388
DKI JAKARTA,JAKARTA TIMUR,5254863314684477439,JAKARTA TIMUR - 5254863314684477439,"POLYGON((106.8310546875 -6.20609049857388, 106.8310546875 -6.22793393026867, 106.85302734375 -6.22793393026867, 106.85302734375 -6.20609049857388, 106.8310546875 -6.20609049857388))",106.8310546875,-6.22793393026867,106.85302734375,-6.20609049857388
DKI JAKARTA,JAKARTA PUSAT,5254863314684477439,JAKARTA PUSAT - 5254863314684477439,"POLYGON((106.8310546875 -6.20609049857388, 106.8310546875 -6.22793393026867, 106.85302734375 -6.22793393026867, 106.85302734375 -6.20609049857388, 106.8310546875 -6.20609049857388))",106.8310546875,-6.22793393026867,106.85302734375,-6.20609049857388
DKI JAKARTA,JAKARTA SELATAN,5254863315053576191,JAKARTA SELATAN - 5254863315053576191,"POLYGON((106.8310546875 -6.22793393026867, 106.8310546875 -6.24977645322781, 106.85302734375 -6.24977645322781, 106.85302734375 -6.22793393026867, 106.8310546875 -6.22793393026867))",106.8310546875,-6.24977645322781,106.85302734375,-6.22793393026867
DKI JAKARTA,JAKARTA SELATAN,5254863315087130623,JAKARTA SELATAN - 5254863315087130623,"POLYGON((106.8310546875 -6.24977645322781, 106.8310546875 -6.27161806431486, 106.85302734375 -6.27161806431486, 106.85302734375 -6.24977645322781, 106.8310546875 -6.24977645322781))",106.8310546875,-6.27161806431486,106.85302734375,-6.24977645322781
DKI JAKARTA,JAKARTA SELATAN,5254863315187793919,JAKARTA SELATAN - 5254863315187793919,"POLYGON((106.8310546875 -6.27161806431486, 106.8310546875 -6.29345876039398, 106.85302734375 -6.29345876039398, 106.85302734375 -6.27161806431486, 106.8310546875 -6.27161806431486))",106.8310546875,-6.29345876039398,106.85302734375,-6.27161806431486
DKI JAKARTA,JAKARTA TIMUR,5254863315187793919,JAKARTA TIMUR - 5254863315187793919,"POLYGON((106.8310546875 -6.27161806431486, 106.8310546875 -6.29345876039398, 106.85302734375 -6.29345876039398, 106.85302734375 -6.27161806431486, 106.8310546875 -6.27161806431486))",106.8310546875,-6.29345876039398,106.85302734375,-6.27161806431486
DKI JAKARTA,JAKARTA TIMUR,5254863315221348351,JAKARTA TIMUR - 5254863315221348351,"POLYGON((106.8310546875 -6.29345876039398, 106.8310546875 -6.31529853833003, 106.85302734375 -6.31529853833003, 106.85302734375 -6.29345876039398, 106.8310546875 -6.29345876039398))",106.8310546875,-6.31529853833003,106.85302734375,-6.29345876039398
DKI JAKARTA,JAKARTA SELATAN,5254863315221348351,JAKARTA SELATAN - 5254863315221348351,"POLYGON((106.8310546875 -6.29345876039398, 106.8310546875 -6.31529853833003, 106.85302734375 -6.31529853833003, 106.85302734375 -6.29345876039398, 106.8310546875 -6.29345876039398))",106.8310546875,-6.31529853833003,106.85302734375,-6.29345876039398
DKI JAKARTA,JAKARTA UTARA,5254864046053654527,JAKARTA UTARA - 5254864046053654527,"POLYGON((106.94091796875 -6.07501100068201, 106.94091796875 -6.09685981888794, 106.962890625 -6.09685981888794, 106.962890625 -6.07501100068201, 106.94091796875 -6.07501100068201))",106.94091796875,-6.09685981888794,106.962890625,-6.07501100068201
DKI JAKARTA,JAKARTA UTARA,5254864046154317823,JAKARTA UTARA - 5254864046154317823,"POLYGON((106.94091796875 -6.09685981888794, 106.94091796875 -6.11870774719085, 106.962890625 -6.11870774719085, 106.962890625 -6.09685981888794, 106.94091796875 -6.09685981888794))",106.94091796875,-6.11870774719085,106.962890625,-6.09685981888794
DKI JAKARTA,JAKARTA UTARA,5254864046187872255,JAKARTA UTARA - 5254864046187872255,"POLYGON((106.94091796875 -6.11870774719085, 106.94091796875 -6.1405547824503, 106.962890625 -6.1405547824503, 106.962890625 -6.11870774719085, 106.94091796875 -6.11870774719085))",106.94091796875,-6.1405547824503,106.962890625,-6.11870774719085
DKI JAKARTA,JAKARTA UTARA,5254864047630712831,JAKARTA UTARA - 5254864047630712831,"POLYGON((106.94091796875 -6.1405547824503, 106.94091796875 -6.16240092152658, 106.962890625 -6.16240092152658, 106.962890625 -6.1405547824503, 106.94091796875 -6.1405547824503))",106.94091796875,-6.16240092152658,106.962890625,-6.1405547824503
DKI JAKARTA,JAKARTA TIMUR,5254864047630712831,JAKARTA TIMUR - 5254864047630712831,"POLYGON((106.94091796875 -6.1405547824503, 106.94091796875 -6.16240092152658, 106.962890625 -6.16240092152658, 106.962890625 -6.1405547824503, 106.94091796875 -6.1405547824503))",106.94091796875,-6.16240092152658,106.962890625,-6.1405547824503
DKI JAKARTA,JAKARTA UTARA,5254864047664267263,JAKARTA UTARA - 5254864047664267263,"POLYGON((106.94091796875 -6.16240092152658, 106.94091796875 -6.18424616128059, 106.962890625 -6.18424616128059, 106.962890625 -6.16240092152658, 106.94091796875 -6.16240092152658))",106.94091796875,-6.18424616128059,106.962890625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047664267263,JAKARTA TIMUR - 5254864047664267263,"POLYGON((106.94091796875 -6.16240092152658, 106.94091796875 -6.18424616128059, 106.962890625 -6.18424616128059, 106.962890625 -6.16240092152658, 106.94091796875 -6.16240092152658))",106.94091796875,-6.18424616128059,106.962890625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047764930559,JAKARTA TIMUR - 5254864047764930559,"POLYGON((106.94091796875 -6.18424616128059, 106.94091796875 -6.20609049857388, 106.962890625 -6.20609049857388, 106.962890625 -6.18424616128059, 106.94091796875 -6.18424616128059))",106.94091796875,-6.20609049857388,106.962890625,-6.18424616128059
DKI JAKARTA,JAKARTA TIMUR,5254864047798484991,JAKARTA TIMUR - 5254864047798484991,"POLYGON((106.94091796875 -6.20609049857388, 106.94091796875 -6.22793393026867, 106.962890625 -6.22793393026867, 106.962890625 -6.20609049857388, 106.94091796875 -6.20609049857388))",106.94091796875,-6.22793393026867,106.962890625,-6.20609049857388
DKI JAKARTA,JAKARTA TIMUR,5254864048167583743,JAKARTA TIMUR - 5254864048167583743,"POLYGON((106.94091796875 -6.22793393026867, 106.94091796875 -6.24977645322781, 106.962890625 -6.24977645322781, 106.962890625 -6.22793393026867, 106.94091796875 -6.22793393026867))",106.94091796875,-6.24977645322781,106.962890625,-6.22793393026867
DKI JAKARTA,JAKARTA TIMUR,5254864048201138175,JAKARTA TIMUR - 5254864048201138175,"POLYGON((106.94091796875 -6.24977645322781, 106.94091796875 -6.27161806431486, 106.962890625 -6.27161806431486, 106.962890625 -6.24977645322781, 106.94091796875 -6.24977645322781))",106.94091796875,-6.27161806431486,106.962890625,-6.24977645322781
DKI JAKARTA,JAKARTA BARAT,5254863311882682367,JAKARTA BARAT - 5254863311882682367,"POLYGON((106.67724609375 -6.07501100068201, 106.67724609375 -6.09685981888794, 106.69921875 -6.09685981888794, 106.69921875 -6.07501100068201, 106.67724609375 -6.07501100068201))",106.67724609375,-6.09685981888794,106.69921875,-6.07501100068201
DKI JAKARTA,JAKARTA BARAT,5254863311983345663,JAKARTA BARAT - 5254863311983345663,"POLYGON((106.67724609375 -6.09685981888794, 106.67724609375 -6.11870774719085, 106.69921875 -6.11870774719085, 106.69921875 -6.09685981888794, 106.67724609375 -6.09685981888794))",106.67724609375,-6.11870774719085,106.69921875,-6.09685981888794
DKI JAKARTA,JAKARTA BARAT,5254863312016900095,JAKARTA BARAT - 5254863312016900095,"POLYGON((106.67724609375 -6.11870774719085, 106.67724609375 -6.1405547824503, 106.69921875 -6.1405547824503, 106.69921875 -6.11870774719085, 106.67724609375 -6.11870774719085))",106.67724609375,-6.1405547824503,106.69921875,-6.11870774719085
DKI JAKARTA,JAKARTA BARAT,5254863313459740671,JAKARTA BARAT - 5254863313459740671,"POLYGON((106.67724609375 -6.1405547824503, 106.67724609375 -6.16240092152658, 106.69921875 -6.16240092152658, 106.69921875 -6.1405547824503, 106.67724609375 -6.1405547824503))",106.67724609375,-6.16240092152658,106.69921875,-6.1405547824503
DKI JAKARTA,JAKARTA BARAT,5254863313493295103,JAKARTA BARAT - 5254863313493295103,"POLYGON((106.67724609375 -6.16240092152658, 106.67724609375 -6.18424616128059, 106.69921875 -6.18424616128059, 106.69921875 -6.16240092152658, 106.67724609375 -6.16240092152658))",106.67724609375,-6.18424616128059,106.69921875,-6.16240092152658
